"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover_rate","mutation_rate","score"
"48",48,47,116,1.66911248629913,0.30568629540503,30,0.692353783827275,0.230382036766969,0.0137576771950222
"279",279,3,176,1.39850092381239,0.327399862464517,13,0.879246081039309,0.051404649624601,0.0121740930029614
"15",15,48,150,1.47105405991897,0.386516031250358,11,0.603158209007233,0.491095303557813,0.0119668170912825
"278",278,55,138,1.77171496460214,0.358945450186729,4,0.684363068081439,0.336380974156782,0.0117053399665979
"190",190,60,180,1.2422190613579,0.299908530246466,28,0.976422373112291,0.257449608878233,0.0108550439438109
"177",177,28,174,1.75689877392724,0.203999982774258,20,0.993874939437956,0.421220512944274,0.0105702311975121
"326",326,33,174,1.57067598011345,0.227524062432349,23,0.636019552126527,0.316674120607786,0.0102808206107257
"276",276,15,162,1.23527963776141,0.345205619931221,18,0.891965640615672,0.170287690707482,0.00981982771283282
"126",126,23,138,1.45575218489394,0.16431949455291,29,0.638764322921634,0.45878719468601,0.00969449755564139
"254",254,41,92,1.61895279013552,0.358065515756607,17,0.653355588950217,0.141940869274549,0.00932226153177894
"54",54,21,62,1.4004247833509,0.159714142978191,25,0.612890424951911,0.159555346588604,0.0091344154756464
"320",320,39,90,1.49041172652505,0.359415575023741,27,0.636891703307629,0.238687096978538,0.0090843963547962
"60",60,23,48,1.25264310040511,0.316985065862536,1,0.675442274659872,0.495263019693084,0.00860780445095912
"50",50,57,142,1.66291432552971,0.30925204353407,15,0.777381806727499,0.405998214380816,0.00833563322368752
"148",148,36,88,1.2227671103552,0.237945793010294,29,0.763678787928075,0.199614910874516,0.00793257040147147
"389",389,51,102,1.29718485530466,0.387744890339673,22,0.848906259890646,0.418968621524982,0.00787872734833929
"109",109,39,160,1.55636770273559,0.349041306786239,23,0.83350393967703,0.178112995927222,0.00781127495622101
"10",10,26,172,1.5182041158434,0.223462310805917,32,0.708260278403759,0.460748392040841,0.00774682165619884
"154",154,23,174,1.25906501594,0.270804820302874,14,0.635614820756018,0.360205755219795,0.0076717676287094
"67",67,34,76,1.22067521195859,0.379856063425541,22,0.866269034892321,0.0944535824237391,0.0071056757698119
"68",68,32,178,1.66942508826032,0.167314599175006,32,0.783590937405825,0.392368148779497,0.00691875134065362
"56",56,47,118,1.25022267554887,0.227563725225627,9,0.757269002869725,0.159379588090815,0.00662093904639432
"58",58,4,102,1.5374019141309,0.0869145927019417,8,0.602016789466143,0.138814422069117,0.00659148105683758
"300",300,12,60,1.60484693041071,0.218810493405908,29,0.896863384637982,0.054113736608997,0.00655482159441153
"394",394,59,146,1.40735235773027,0.341295343730599,31,0.774047197308391,0.382772238808684,0.00606339416179973
"184",184,31,130,1.29807755872607,0.397332425788045,20,0.84228268712759,0.418277839780785,0.00595874101177406
"282",282,21,112,1.60623029270209,0.173406602349132,17,0.629281984362751,0.143622518749908,0.00591387222765451
"253",253,12,112,1.49435840123333,0.279791272711009,31,0.823159096483141,0.115781886852346,0.00573341338779803
"284",284,49,130,1.64391280682758,0.353996514156461,1,0.959621275868267,0.162294287583791,0.00547974897695074
"106",106,6,146,1.752974819066,0.0618506180122495,12,0.64703624965623,0.181574519840069,0.00547426022589842
"165",165,21,168,1.22701716483571,0.147266206331551,32,0.729345184285194,0.470979071571492,0.00537605280248569
"84",84,39,140,1.66299628810957,0.358291295170784,1,0.627748283278197,0.0942377665778622,0.00535495665491605
"143",143,54,134,1.33420718614943,0.0907476874068379,20,0.709720021020621,0.360019691637717,0.00473526020272811
"356",356,24,88,1.52390820183791,0.181882709823549,29,0.613911260571331,0.225969009916298,0.00473031825651841
"49",49,42,142,1.49175087651238,0.393703560065478,27,0.717027129139751,0.306268722051755,0.00468536066471089
"71",71,41,150,1.46243532830849,0.399319108854979,13,0.934039287082851,0.164317374117672,0.004681395100629
"178",178,4,106,1.47189635024406,0.113387896306813,16,0.751947576552629,0.397278542397544,0.00442420320117798
"191",191,15,62,1.63504192437977,0.0909560568630695,29,0.892805274575949,0.293895449023694,0.00436926307878544
"89",89,54,144,1.3129935474135,0.363897353690118,15,0.998276961501688,0.316542535205372,0.00435387030325341
"33",33,50,100,1.68537938911468,0.21477977046743,21,0.954897205345333,0.38404995505698,0.00416751190218333
"34",34,39,168,1.62344057299197,0.291482283454388,32,0.788964452687651,0.440391455194913,0.00407648857876334
"186",186,47,96,1.25546023431234,0.22122706240043,26,0.972622225899249,0.328150837798603,0.00403049517470775
"114",114,33,94,1.21213091528043,0.0684718270786107,21,0.926628850679845,0.353759940830059,0.00393325686646618
"367",367,58,134,1.61487921103835,0.383215076010674,28,0.888319966942072,0.183972542989068,0.00391327034388855
"339",339,26,144,1.35888447244652,0.0134051592089236,17,0.802127825375646,0.355899334419519,0.0037699388147315
"145",145,60,170,1.77674520160072,0.0353857751004398,23,0.809887506533414,0.23258060333319,0.00372131964066057
"51",51,56,178,1.47101480732672,0.0663165555335581,28,0.671353483572602,0.440234843292274,0.00371518804232071
"231",231,52,126,1.29565522586927,0.019226517342031,29,0.659457398764789,0.412953352555633,0.00368985285057189
"295",295,23,166,1.58329953406937,0.246932907402515,2,0.943192030582577,0.364099309896119,0.00365544005497396
"374",374,49,106,1.62103651631624,0.336226468253881,2,0.821706751547754,0.149297549040057,0.00359679738509226
"220",220,42,88,1.20371160479262,0.203837774507701,14,0.613961312454194,0.448789617978036,0.00354270862463206
"244",244,7,76,1.61385625200346,0.136891873553395,22,0.92293098801747,0.111033904831856,0.00334156096486898
"336",336,27,162,1.57077068919316,0.124221912771463,29,0.951009800191969,0.488205713802017,0.00320791804727347
"370",370,5,74,1.22642655470408,0.0428642061538994,8,0.937246182374656,0.184224275988527,0.0030776823079256
"203",203,38,82,1.33257328709587,0.346163151413202,24,0.934237903356552,0.46289951261133,0.00305813174816321
"235",235,43,104,1.30903082317673,0.0567210515961051,23,0.976491303835064,0.398747015977278,0.00300260570655483
"297",297,52,110,1.43618225161918,0.0356284906156361,3,0.827851174492389,0.445230301702395,0.0028300414255425
"303",303,27,90,1.6038178186398,0.14965751664713,20,0.987737869285047,0.229775393265299,0.00277249083753721
"43",43,40,148,1.50238943765871,0.218300077877939,24,0.805087954830378,0.304929602076299,0.00269080684067849
"140",140,37,128,1.41574023161083,0.249030487332493,32,0.746757766976953,0.281935611157678,0.0026447876183038
"351",351,60,156,1.59370634285733,0.205179126560688,27,0.876592091098428,0.480450258823112,0.00261808148817838
"360",360,34,100,1.73069118540734,0.0403719022870064,3,0.89222582038492,0.136308023240417,0.0025401097266781
"337",337,40,124,1.23091249926947,0.0393333297222853,0,0.984645198564976,0.0831325848121196,0.00245749874832254
"19",19,21,148,1.38766412674449,0.137610796838999,27,0.708389538992196,0.295928834355436,0.00228350866675566
"266",266,56,152,1.73930822988041,0.238571805413812,25,0.607550412975252,0.153987335972488,0.00225069639937518
"393",393,52,112,1.27624729257077,0.258814762253314,27,0.72223868817091,0.203656787518412,0.00214037496552512
"108",108,49,138,1.37184844007716,0.232276303786784,15,0.673339298553765,0.154578853514977,0.00207740168867482
"87",87,3,122,1.54237557118759,0.182242415565997,11,0.683135103527457,0.0798724198248237,0.00204590828008353
"363",363,58,158,1.24561923625879,0.0436573221348226,19,0.993021229375154,0.486813979456201,0.00204232208474232
"62",62,44,168,1.5642972569447,0.123995337355882,0,0.683571843616664,0.440780148142949,0.00204139385118579
"302",302,55,144,1.36996713643894,0.362945372052491,20,0.850443555228412,0.145762090804055,0.00201539437722769
"91",91,56,148,1.2693956787698,0.214307047240436,3,0.789891769178212,0.382774866302498,0.00186844659721013
"4",4,44,176,1.59490712173283,0.142808882053941,19,0.907524180784822,0.497795905102976,0.00184177913852582
"243",243,57,144,1.25410811989568,0.0694294299930334,2,0.687304923031479,0.365153439459391,0.00176503752148064
"27",27,48,132,1.63178312899545,0.164685200247914,32,0.924420457519591,0.363479929044843,0.00169751552748218
"236",236,42,176,1.59452009685338,0.191274011693895,5,0.91278830152005,0.0140799765940756,0.00169742026888037
"291",291,47,126,1.23974642674439,0.198082150053233,24,0.793218066077679,0.258347035967745,0.00168872633898663
"113",113,55,116,1.27693694662303,0.278676845692098,23,0.886394240707159,0.378082592505962,0.00165231501466605
"330",330,39,104,1.7805800168775,0.102037539612502,27,0.95372800398618,0.399158995132893,0.00153965087038054
"245",245,36,88,1.55174251282588,0.105954336374998,24,0.839383544493467,0.3649045182392,0.00148732218832117
"347",347,25,134,1.44153967006132,0.232673524040729,4,0.683869284484535,0.294758348609321,0.00143453845387022
"57",57,39,114,1.60011109183542,0.165500656701624,0,0.740905075892806,0.0724510013824329,0.00141215161041373
"101",101,32,108,1.69859478101134,0.148551609553397,15,0.701664374396205,0.348383985692635,0.00140057532985303
"257",257,44,140,1.21918263598345,0.225590494088829,21,0.992935165576637,0.343175078858621,0.00137608402769307
"26",26,52,116,1.23095476403832,0.0278492094017565,6,0.797414265759289,0.18331322260201,0.00137597004933196
"218",218,54,170,1.72404189719819,0.0470079241320491,3,0.896229165047407,0.396712728543207,0.00136776107816592
"35",35,48,164,1.71900676097721,0.0113974588923156,1,0.798742972221225,0.463663451257162,0.00136088806089411
"285",285,44,92,1.22245255932212,0.310224399808794,12,0.869046054966748,0.389926947071217,0.00133026568990114
"117",117,43,166,1.48421334126033,0.228746466245502,10,0.84615180362016,0.166271865135059,0.00130792415582329
"55",55,37,178,1.20110721657984,0.161987035255879,20,0.800230027642101,0.39851700165309,0.00130434568756597
"352",352,45,168,1.44410809907131,0.179178753681481,11,0.601421903818846,0.105177616118453,0.0012893674761765
"381",381,57,162,1.47427466078661,0.278580715227872,10,0.966366465669125,0.115155894425698,0.00127214597255956
"169",169,38,84,1.41084001315758,0.206443922128528,10,0.651039063092321,0.189513666089624,0.00122685085902006
"132",132,40,94,1.50398962008767,0.371343972161412,32,0.833313605189323,0.0709023592062294,0.00120089275114134
"217",217,10,122,1.23186392029747,0.170757322013378,25,0.997211460117251,0.251805995241739,0.00119456562215114
"142",142,46,144,1.49600045685656,0.20628328891471,12,0.69326177444309,0.265320882899687,0.00118855208887479
"135",135,58,140,1.37332382756285,0.190589031856507,10,0.91821679668501,0.195462242001668,0.00114533652728801
"21",21,33,126,1.2940068624448,0.212723234202713,20,0.966987084876746,0.363430686295033,0.00109006603300174
"338",338,36,76,1.20661198217422,0.272889664489776,13,0.608778672106564,0.104899834142998,0.00104904595785084
"63",63,15,84,1.30842299046926,0.0323467805050313,23,0.686962248664349,0.445913001545705,0.00104602404471084
"59",59,30,88,1.4803092519287,0.159009779058397,26,0.885079602990299,0.287528840941377,0.00103061793793969
"283",283,27,54,1.44908111589029,0.215620978455991,23,0.809755181707442,0.171679506078362,0.00100822140237644
"382",382,6,124,1.47256259601563,0.384575088974088,3,0.81642127353698,0.0366226473124698,0.00100304366577645
"375",375,29,176,1.25154794510454,0.156385323498398,22,0.88584343129769,0.013970221974887,0.000978236442922746
"230",230,49,154,1.7075884425547,0.130881418380886,12,0.627768329437822,0.320496584055945,0.000973843816126381
"207",207,47,98,1.55213571838103,0.250759423617274,13,0.996173220779747,0.214963120990433,0.000958981779140238
"100",100,10,154,1.50307389381342,0.0323383552953601,9,0.854570584371686,0.139687836519442,0.00086938556215052
"242",242,30,108,1.53498190320097,0.248100055288523,12,0.858930088859051,0.103942352812737,0.000785410083618522
"74",74,38,156,1.23194990032353,0.152190530113876,18,0.773191342223436,0.262312321108766,0.000781788337872863
"239",239,15,50,1.68500877111219,0.169194517936558,3,0.802358575724065,0.0397370571736246,0.000759592769234012
"102",102,45,106,1.66150548448786,0.121272790431976,30,0.787189580406994,0.116730308975093,0.000728560561820591
"97",97,22,96,1.60692046405748,0.185281427297741,28,0.6779461665079,0.0820003919070587,0.000718651672328205
"146",146,54,114,1.49232320711017,0.0752819146960974,25,0.774400461930782,0.483252846403047,0.000659665292269169
"119",119,21,80,1.61832608543336,0.145464268513024,6,0.887814112752676,0.156406639376655,0.000653884702245719
"47",47,56,162,1.7536517623812,0.183622186630964,23,0.775219968799502,0.159914311836474,0.000643609170507017
"294",294,33,84,1.50130355735309,0.203917341679335,14,0.906808622460812,0.219898981740698,0.000618397290960255
