"","Group.1","population_size","parent_size","rank","mutation_variation","score"
"578",578,237,64,1.38266810495406,0.488429196295328,0.0107371068704158
"800",800,213,268,1.59807300870307,0.481252446305007,0.0105808875662314
"657",657,259,40,1.89168383739889,0.360673834453337,0.0105265457077759
"183",183,166,72,1.18531368835829,0.0378953667823225,0.0105244068376872
"114",114,168,258,1.91071309545077,0.0696041823830456,0.0103867912494535
"431",431,224,164,1.77277762023732,0.49664085812401,0.0103000216730772
"911",911,187,270,1.19357645255513,0.391622363473289,0.00985024952797464
"772",772,204,124,1.61353898979723,0.27526933257468,0.00941594544349348
"979",979,256,116,1.80689487140626,0.374361339141615,0.00920305988265257
"193",193,184,242,1.81104951677844,0.103650267235935,0.00897238037732221
"728",728,144,218,1.05240601766855,0.469862744910643,0.00887996329160549
"579",579,91,152,1.62489143200219,0.127443648641929,0.00885176473407394
"1",1,231,286,1.03540277318098,0.228461934253573,0.0088013947146253
"201",201,129,62,1.46577533031814,0.239627293194644,0.00871675257290277
"635",635,227,202,1.93104657600634,0.393932301085442,0.00864898567841116
"289",289,191,56,1.16833187686279,0.218368051457219,0.00862731819443626
"134",134,172,92,1.09446907253005,0.338650450226851,0.00852232718829562
"144",144,272,26,1.04696140671149,0.0364938323618844,0.00847186481880554
"125",125,273,78,1.10305384127423,0.133378467522562,0.0083548959849408
"52",52,136,90,1.45904944115318,0.318945995764807,0.00821227656171427
"569",569,294,200,1.97722138254903,0.158453006413765,0.008121066248153
"351",351,83,78,1.5788963411469,0.391826424980536,0.00805794227532871
"669",669,163,36,1.56365972827189,0.139330324251205,0.00795830577479347
"610",610,242,136,1.09418723033741,0.149200209416449,0.00792597386049534
"306",306,258,74,1.91609222255647,0.465060578775592,0.00774831938077269
"236",236,216,246,1.35054132132791,0.403376749018207,0.00767200155010968
"11",11,194,108,1.89100585319102,0.193281359504908,0.00761297287970276
"194",194,227,198,1.64303545281291,0.377982081146911,0.00755311404809479
"524",524,283,62,1.85906799556687,0.130945933051407,0.0074228124763315
"242",242,261,128,1.04721310292371,0.305140764801763,0.00736866477801669
"441",441,269,164,1.50493281404488,0.44097558176145,0.00726455224150074
"629",629,185,212,1.6248652942013,0.228207124164328,0.00723721509193158
"169",169,291,204,1.5749345801305,0.491267026634887,0.0069431008973945
"767",767,186,166,1.10402314621024,0.211394599638879,0.00692794221678354
"343",343,285,56,1.01386971701868,0.327215912868269,0.00689003419740302
"112",112,235,238,1.03489884291776,0.350052122375928,0.00656722664525398
"828",828,276,72,1.44234722526744,0.0458035473711789,0.00636438755679449
"217",217,245,250,1.30361097794957,0.418387331184931,0.00631873339994829
"756",756,260,16,1.02390024322085,0.218770764535293,0.00628501959287088
"438",438,147,270,1.28881546319462,0.0876303749391809,0.00627881299313195
"824",824,297,6,1.55012482544407,0.342561250785366,0.00614350259990186
"958",958,244,168,1.11842825240456,0.440519501455128,0.00608782237381063
"473",473,290,10,1.56790355569683,0.0760064764181152,0.00606149464326475
"75",75,101,80,1.27063534175977,0.438442326849326,0.00599281305507808
"534",534,163,94,1.74713813979179,0.316843623761088,0.00599023822161251
"208",208,148,112,1.54750914080068,0.0726179633056745,0.00583450551159299
"219",219,258,218,1.6799724039156,0.202271470217966,0.00561175641118509
"973",973,188,124,1.6118736078497,0.158198078046553,0.00554747895260191
"944",944,173,164,1.81117341085337,0.266847962746397,0.00546428644336602
"171",171,84,68,1.41904369462281,0.393208880792372,0.00535461373072834
"160",160,283,112,1.40122666070238,0.428855556761846,0.00529139714526247
