"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover","score"
"188",188,112,248,1.95550117478706,0.0711878914153203,4,0.906641534529626,0.000422363722838085
"141",141,76,258,1.05116406013258,0.28362614440266,1,0.350469357101247,0.000343655678193236
"59",59,59,198,1.51295993081294,0.250060515012592,23,0.137971238931641,0.000334973620126249
"10",10,99,246,1.13000058894977,0.321399391163141,6,0.603801876539364,0.000328382234881579
"125",125,114,260,1.49258540547453,0.131075673154555,7,0.295064552454278,0.000326445196011194
"58",58,22,232,1.89868676825427,0.0434248000383377,16,0.71513350890018,0.00027535474586356
"77",77,26,100,1.1769295653794,0.189087175880559,1,0.491662825457752,0.000244985735221807
"156",156,141,290,1.00709584099241,0.158617482869886,31,0.196650743251666,0.000235258315320647
"193",193,109,238,1.36419704789296,0.17219806520734,32,0.576317639322951,0.000235252053906469
"200",200,116,280,1.05089990771376,0.153023055987433,25,0.172792172757909,0.000234060817277874
"112",112,78,300,1.21669310377911,0.258243152988143,22,0.590041638351977,0.000216612025888674
"130",130,133,274,1.07316569797695,0.381006550742313,23,0.70060805301182,0.000216251963445513
"19",19,149,300,1.11181812663563,0.327390500460751,5,0.748878028942272,0.000208108680081349
"63",63,73,240,1.8688141417224,0.249963516253047,5,0.42845519981347,0.000204785465628892
"91",91,15,44,1.02480221400037,0.00262032134924084,1,0.340943219140172,0.000195345805461155
"184",184,76,160,1.45091237686574,0.0963007400278002,12,0.819338519824669,0.000176331984950426
"84",84,138,294,1.01806863141246,0.332056251354516,6,0.128909790888429,0.000162711638423754
"35",35,40,202,1.52339186891913,0.132687081466429,29,0.197258561151102,0.000162113404337788
"82",82,90,194,1.17535145650618,0.349701342172921,9,0.525796862551942,0.000158617070240048
"100",100,141,282,1.0731023401022,0.0937756043858826,19,0.0016482409555465,0.00015742446433336
"139",139,105,238,1.24462351528928,0.304342858027667,0,0.321894995169714,0.000157030980963833
"74",74,28,60,1.45029376540333,0.122205089661293,22,0.864392829826102,0.000149769377836302
"108",108,139,290,1.49995626090094,0.37072529445868,24,0.753352461149916,0.00014818949583437
"65",65,25,276,1.20252713677473,0.299630081281066,11,0.494512639474124,0.000133815048416429
"142",142,118,244,1.62263294146396,0.290031358716078,1,0.233841112582013,0.000130881361236712
"117",117,115,260,1.85918273800053,0.000738158589228988,0,0.972000649897382,0.000128392746822164
"133",133,89,184,1.38983471482061,0.00961517752148211,18,0.448852574452758,0.000123926095431324
"26",26,145,292,1.69617608352564,0.21196245867759,24,0.440352470148355,0.000122315184974284
"132",132,125,290,1.78595979791135,0.217336721718311,9,0.363889674656093,0.000119344195677721
"121",121,88,294,1.16277863248251,0.155626611900516,6,0.643075647996739,0.000117733443844159
"183",183,117,278,1.51213893806562,0.00999971700366586,1,0.638612655922771,0.00011693064080644
"90",90,39,158,1.33804424712434,0.103528571664356,8,0.132273489609361,0.000104816716073324
"21",21,31,188,1.75072116777301,0.200370731181465,10,0.337132863001898,9.49129459902876e-05
"95",95,19,176,1.46151740546338,0.225737450295128,7,0.533795691095293,8.6704467354646e-05
"46",46,114,242,1.81713733216748,0.414776695426553,4,0.0224305579904467,7.68346266808733e-05
"56",56,150,154,1.79613572638482,0.00881544395815581,21,0.55091984802857,6.74555171432929e-05
"106",106,18,36,1.63535516755655,0.135774225112982,32,0.222300165565684,6.66194395647959e-05
"158",158,132,266,1.47484600287862,0.0141497777076438,11,0.0870215783361346,5.63604003718802e-05
"178",178,60,294,1.46014640200883,0.0601289288606495,16,0.496372804278508,5.48543226693385e-05
"8",8,49,262,1.93355771247298,0.0578174685360864,10,0.553882671752945,3.35803769102735e-05
"170",170,13,258,1.07271169847809,0.0789133089128882,28,0.847784069133922,3.09606123031638e-05
"75",75,95,270,1.99427050026134,0.108986132079735,23,0.85737549723126,3.04205619443008e-05
"43",43,13,168,1.11461881431751,0.218859996646643,17,0.374678163556382,2.62348394588443e-05
"27",27,125,264,1.6451535273809,0.00466728385072201,6,0.0663244584575295,2.54274569757352e-05
"71",71,95,206,1.04784271190874,0.0865559853846207,3,0.127499275840819,2.46541337342405e-05
"34",34,58,250,1.15633401088417,0.272887333412655,14,0.539463668595999,2.42266142831935e-05
"97",97,19,38,1.43096876959316,0.0767123274272308,9,0.387168823275715,2.26557503395546e-05
"196",196,27,196,1.69040745403618,0.21533883549273,8,0.34174143942073,1.89235499100601e-05
"5",5,76,160,1.41834094468504,0.25632023694925,13,0.594693027902395,1.42314219085594e-05
"16",16,103,216,1.34377427748404,0.0606030197814107,3,0.726462569786236,1.0081326154052e-05
"23",23,31,118,1.8550768555142,0.0121996295638382,15,0.0686928681097925,7.24854944361432e-06
"39",39,40,88,1.39854030241258,0.0375556313665584,29,0.67852973844856,5.70957197395033e-06
"124",124,59,190,1.77449096180499,0.0310344538884237,26,0.0402040719054639,1.57875216870574e-06
"127",127,11,108,1.72633602772839,0.406044805073179,11,0.209995926357806,3.56622897533409e-07
