"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover","score"
"114",114,34,88,1.95116832409985,0.17143409291748,1,0.218856513034552,0.00151667906439115
"62",62,137,216,1.91063924552873,0.133529112674296,7,0.552673505386338,0.00150694028383589
"168",168,56,292,1.50027058343403,0.326555321342312,20,0.126729648560286,0.00150387283569167
"166",166,37,132,1.22738496982493,0.0311140350531787,2,0.154884409392253,0.00150268637145163
"136",136,90,262,1.62316157319583,0.1506163389422,14,0.651500728679821,0.00142217518896186
"135",135,20,72,1.22076079226099,0.123490443802439,23,0.033882248448208,0.00141691486444235
"179",179,110,296,1.17067600204609,0.44237681676168,20,0.00485021225176752,0.00139276051110749
"131",131,129,236,1.500802048482,0.0388383024837822,25,0.375935665797442,0.00124622166616742
"26",26,65,188,1.15449055074714,0.352263484150171,17,0.505666601471603,0.00117710040205591
"90",90,39,66,1.38368088519201,0.125484555610456,11,0.708147509489208,0.00112898762236582
"152",152,98,150,1.3620681995526,0.225866192253307,18,0.571020794566721,0.00110845612185575
"82",82,138,144,1.81356978323311,0.270692693651654,11,0.1885196773801,0.00102538900594644
"25",25,142,254,1.50735056609847,0.445040473015979,28,0.619314048206434,0.000970828954578472
"66",66,150,228,1.71687120711431,0.0860236568842083,19,0.856526578078046,0.000909739879103325
"170",170,79,194,1.60462060384452,0.261670585488901,26,0.719430521363392,0.000871869097494643
"116",116,121,194,1.32246696087532,0.140546098933555,1,0.348151549696922,0.000832949491368361
"21",21,117,278,1.29209358501248,0.393824545317329,29,0.761235749348998,0.000823526912747826
"34",34,118,172,1.24509256100282,0.0647113031009212,15,0.943277745041996,0.000811336142688511
"71",71,42,248,1.47482873569243,0.145510882139206,27,0.846123683732003,0.000799672909688505
"192",192,104,138,1.00298582017422,0.0792885806877166,12,0.54769496829249,0.000770404878807732
"30",30,44,248,1.86152113275602,0.279018076253124,17,0.461478430312127,0.000766578706553953
"29",29,113,166,1.85905544320121,0.155754761188291,31,0.710179900284857,0.000758148524444309
"61",61,62,222,1.73695504921488,0.296899459208362,9,0.484289048006758,0.000746113848970584
"129",129,72,236,1.56326287030242,0.168661990202963,26,0.0344937588088214,0.000718897416312827
"121",121,87,124,1.33446499239653,0.0476615997031331,28,0.418606529477984,0.000678461365095082
"60",60,26,266,1.24073537648655,0.462112669833004,8,0.221280514961109,0.000655694101886717
"22",22,129,188,1.21443873085082,0.0209825292695314,22,0.900478835916147,0.000599913447266205
"93",93,13,266,1.84876416693442,0.0947344144806266,27,0.951247541466728,0.000552845983422311
"88",88,107,76,1.41598002030514,0.0259824986569583,23,0.309901813277975,0.00054200333268967
"132",132,137,124,1.43310329318047,0.0214869558112696,1,0.300142131280154,0.000536020535172103
"57",57,77,88,1.66124302148819,0.0538358979392797,13,0.101080842316151,0.000493453778149239
