"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover_rate","mutation_rate","sigmaShare","alphaShare","score"
"170",170,119,266,1.5836353413295,0.318175403308123,20,0.667999401129782,0.454565886524506,0.446481716353446,1,6.45448761287411
"128",128,95,322,1.49954175702296,0.163233335223049,12,0.789774949941784,0.302070354227908,0.675496005453169,2,6.35548605380686
"238",238,40,360,1.74747040523216,0.320389733277261,20,0.997190337907523,0.163434625486843,1.16623365553096,1,6.3518401643766
"18",18,55,260,1.64299631486647,0.172220793552697,20,0.814565068855882,0.399562124512158,1.44554903218523,1,6.30840422969861
"63",63,37,186,1.44522080523893,0.346760586928576,3,0.969642998185009,0.137184204533696,1.86801140010357,2,6.28676951880837
"216",216,24,316,1.58357494091615,0.264156306348741,17,0.602395302336663,0.373099305899814,0.664696739986539,1,6.25270151817149
"45",45,74,154,1.66882162210532,0.330989152286202,22,0.749683032557368,0.437555050244555,0.261251921299845,2,6.10385657862653
"194",194,67,254,1.43828411875293,0.218925104662776,5,0.955632567871362,0.2035095380852,1.2796961995773,2,6.05668147930307
"173",173,113,270,1.3928246143274,0.10458350032568,20,0.711572031769901,0.409558686078526,0.537910924758762,1,5.81947825923767
"92",92,61,210,1.28783833868802,0.148717462457716,19,0.851817125454545,0.343854757258669,0.14482946973294,2,5.78029890654528
"219",219,67,302,1.57114635868929,0.208077631052583,22,0.854568275250494,0.213013893342577,1.51992800785229,1,5.74834032332336
"266",266,30,466,1.70724377199076,0.176865495741367,15,0.844092412572354,0.402731332695112,0.252879898063838,2,5.69853504866347
"354",354,13,246,1.54768567406572,0.276111723203212,22,0.622892456687987,0.266688360599801,0.22879418451339,1,5.60305838852883
"381",381,7,294,1.46679837196134,0.291494779475033,5,0.682494570687413,0.413568674004637,1.51549185952172,2,5.48787121293461
"110",110,4,276,1.28995339390822,0.31744735352695,21,0.973547508008778,0.404939430765808,1.96962143946439,2,5.4655939682102
"8",8,10,284,1.664630129328,0.384513338655233,22,0.756301496643573,0.304849521955475,1.52999136317521,2,5.32942164682397
"24",24,59,256,1.44683849760331,0.189314775168896,25,0.897167386393994,0.238128157914616,0.00446700071915984,1,5.21095173718885
"397",397,66,338,1.3879687468987,0.156852385401726,11,0.803318621776998,0.311918841674924,0.267397587187588,1,4.93246549279045
"141",141,52,440,1.29483908582479,0.275310437567532,22,0.711756155453622,0.173120121355169,1.50865776836872,2,4.90004899763953
"115",115,6,14,1.59019730617292,0.395366095006466,21,0.986198668647557,0.233891867101192,0.736317357514054,1,4.86911086592293
"321",321,108,340,1.74293724931777,0.180443247407675,19,0.766028212197125,0.259367847116664,0.691694021224976,2,4.84895458283782
"14",14,35,348,1.37542138625868,0.115699289552867,20,0.819064589962363,0.423096128855832,0.0892925099469721,2,4.67514864070413
"116",116,70,442,1.78527690125629,0.210913768876344,13,0.626362907607108,0.232506208820269,1.83388431277126,2,4.59001946128576
